my_result,target
[6.],[[16]]
[3.],[[22]]
[3.],[[9]]
[3.],[[5]]
[3.],[[26]]
[3.],[[19]]
[4.],[[4]]
[3.],[[8]]
[4.],[[24]]
[10.],[[4]]
[16.],[[16]]
[10.],[[10]]
[3.],[[2]]
[3.],[[21]]
[13.],[[13]]
[6.],[[6]]
[3.],[[21]]
[16.],[[16]]
[3.],[[9]]
[16.],[[16]]
[16.],[[16]]
[3.],[[15]]
[3.],[[12]]
[13.],[[23]]
[3.],[[11]]
[3.],[[3]]
[3.],[[5]]
[3.],[[12]]
[3.],[[12]]
[3.],[[3]]
[16.],[[25]]
[3.],[[7]]
[16.],[[6]]
[4.],[[19]]
[3.],[[9]]
[3.],[[11]]
[3.],[[3]]
[3.],[[4]]
[3.],[[4]]
[3.],[[2]]
[4.],[[11]]
[16.],[[7]]
[3.],[[7]]
[3.],[[20]]
[3.],[[19]]
[3.],[[3]]
[3.],[[11]]
[3.],[[22]]
[3.],[[6]]
[3.],[[22]]
[3.],[[17]]
[3.],[[7]]
[3.],[[1]]
[3.],[[5]]
[16.],[[8]]
[16.],[[6]]
[3.],[[4]]
[3.],[[19]]
[6.],[[22]]
[16.],[[15]]
[4.],[[8]]
[6.],[[6]]
[10.],[[13]]
[16.],[[24]]
[3.],[[19]]
[3.],[[19]]
[3.],[[19]]
[3.],[[17]]
[6.],[[6]]
[10.],[[10]]
[3.],[[21]]
[3.],[[12]]
[3.],[[19]]
[10.],[[1]]
[3.],[[24]]
[3.],[[21]]
[3.],[[9]]
[3.],[[1]]
[16.],[[18]]
[3.],[[11]]
[3.],[[15]]
[3.],[[21]]
[3.],[[20]]
[16.],[[14]]
[16.],[[5]]
[3.],[[26]]
[3.],[[24]]
[13.],[[11]]
[4.],[[15]]
[4.],[[17]]
[3.],[[4]]
[3.],[[25]]
[3.],[[24]]
[3.],[[10]]
[3.],[[3]]
[16.],[[19]]
[3.],[[7]]
[4.],[[4]]
[13.],[[23]]
[3.],[[17]]
[3.],[[17]]
[3.],[[7]]
[3.],[[8]]
[3.],[[11]]
[3.],[[3]]
[3.],[[2]]
[16.],[[25]]
[3.],[[21]]
[3.],[[3]]
[3.],[[17]]
[10.],[[10]]
[3.],[[21]]
[3.],[[5]]
[13.],[[13]]
[3.],[[21]]
[3.],[[19]]
[6.],[[20]]
[6.],[[25]]
[3.],[[7]]
[16.],[[23]]
[3.],[[19]]
[3.],[[22]]
[3.],[[8]]
[3.],[[11]]
[13.],[[13]]
[3.],[[24]]
[14.],[[8]]
[3.],[[6]]
[13.],[[21]]
[16.],[[16]]
[3.],[[8]]
[3.],[[24]]
[13.],[[13]]
[3.],[[4]]
[3.],[[21]]
[6.],[[20]]
[6.],[[21]]
[3.],[[2]]
[3.],[[17]]
[3.],[[19]]
[3.],[[12]]
[3.],[[11]]
[13.],[[23]]
[10.],[[10]]
[13.],[[7]]
[4.],[[18]]
[3.],[[13]]
[3.],[[3]]
[3.],[[11]]
[3.],[[10]]
[16.],[[15]]
[16.],[[10]]
[3.],[[26]]
[3.],[[19]]
[3.],[[4]]
[3.],[[21]]
[16.],[[15]]
[3.],[[21]]
[6.],[[22]]
[3.],[[7]]
[6.],[[22]]
[6.],[[25]]
[3.],[[21]]
[3.],[[17]]
[3.],[[3]]
[3.],[[17]]
[6.],[[25]]
[16.],[[8]]
[6.],[[25]]
[3.],[[1]]
[3.],[[11]]
[13.],[[13]]
[3.],[[15]]
[13.],[[7]]
[3.],[[12]]
[4.],[[11]]
[3.],[[12]]
[10.],[[10]]
[3.],[[1]]
[6.],[[20]]
[3.],[[21]]
[16.],[[2]]
[3.],[[26]]
[16.],[[6]]
[3.],[[8]]
[3.],[[26]]
[16.],[[23]]
[3.],[[19]]
[4.],[[19]]
[3.],[[3]]
[6.],[[20]]
[3.],[[21]]
